home_team,home_goals,home_xg,away_team,away_goals,away_xg
Augsburg,2,0.614461,Bayern Munich,1,1.24258
Arminia Bielefeld,2,1.40579,Wolfsburg,2,1.35662
Hoffenheim,2,2.88876,RasenBallsport Leipzig,0,0.211083
Borussia M.Gladbach,4,2.47443,Greuther Fuerth,0,0.307559
Bayer Leverkusen,1,1.62637,Bochum,0,0.708697
Borussia Dortmund,2,1.99186,VfB Stuttgart,1,1.54108
Union Berlin,2,1.89108,Hertha Berlin,0,0.211495
Freiburg,0,1.5667,Eintracht Frankfurt,2,1.24268
Mainz 05,1,0.941346,FC Cologne,1,1.75564
VfB Stuttgart,2,0.276918,Mainz 05,1,1.17743
Greuther Fuerth,3,1.36493,Hoffenheim,6,3.01705
Bochum,2,0.955994,Freiburg,1,2.12135
FC Cologne,4,1.48695,Borussia M.Gladbach,1,1.30291
Hertha Berlin,1,1.92656,Augsburg,1,1.61295
Wolfsburg,1,2.17146,Borussia Dortmund,3,2.35127
Bayern Munich,1,2.67728,Arminia Bielefeld,0,0.385377
Eintracht Frankfurt,2,1.69692,Union Berlin,1,1.07386
RasenBallsport Leipzig,1,1.43225,Bayer Leverkusen,3,1.23553
Union Berlin,2,3.76492,RasenBallsport Leipzig,1,1.14392
Arminia Bielefeld,1,1.01727,FC Cologne,1,1.18693
Augsburg,2,2.86606,Bochum,3,2.04524
Mainz 05,3,1.41164,Wolfsburg,0,0.760457
Hoffenheim,3,0.924975,Eintracht Frankfurt,2,1.57864
Bayer Leverkusen,7,2.4319,Greuther Fuerth,1,0.279746
Borussia Dortmund,2,1.43058,Bayern Munich,3,2.42143
VfB Stuttgart,2,0.921944,Hertha Berlin,2,1.25849
Borussia M.Gladbach,0,1.07562,Freiburg,6,2.70796
FC Cologne,0,1.15891,Augsburg,2,1.17632
Bochum,1,0.966453,Borussia Dortmund,1,2.68284
Hertha Berlin,2,2.23797,Arminia Bielefeld,0,0.454841
Freiburg,1,2.25197,Hoffenheim,2,1.5054
RasenBallsport Leipzig,4,4.80258,Borussia M.Gladbach,1,0.84748
Bayern Munich,2,1.78613,Mainz 05,1,0.872668
Wolfsburg,0,1.46986,VfB Stuttgart,2,1.53296
Greuther Fuerth,1,0.680225,Union Berlin,0,1.83652
Eintracht Frankfurt,5,1.44415,Bayer Leverkusen,2,1.60141
VfB Stuttgart,0,1.04709,Bayern Munich,5,4.98146
Arminia Bielefeld,2,0.642785,Bochum,0,0.748012
Mainz 05,4,3.10591,Hertha Berlin,0,0.393369
Wolfsburg,2,2.42693,FC Cologne,3,3.14693
Borussia M.Gladbach,2,2.22983,Eintracht Frankfurt,3,2.50286
Augsburg,1,1.56744,RasenBallsport Leipzig,1,3.08255
Union Berlin,0,2.25007,Freiburg,0,1.22466
Bayer Leverkusen,2,2.42553,Hoffenheim,2,1.68115
Borussia Dortmund,3,1.91572,Greuther Fuerth,0,0.379024
Bayern Munich,4,4.31291,Wolfsburg,0,1.41635
Greuther Fuerth,0,0.0901985,Augsburg,0,1.48497
Bochum,0,1.04215,Union Berlin,1,0.999651
Hoffenheim,1,2.24422,Borussia M.Gladbach,1,1.62486
Eintracht Frankfurt,1,1.52805,Mainz 05,0,0.832437
RasenBallsport Leipzig,0,1.64503,Arminia Bielefeld,2,1.33454
Hertha Berlin,3,1.61634,Borussia Dortmund,2,1.57262
Freiburg,2,2.07857,Bayer Leverkusen,1,0.818605
FC Cologne,1,1.35819,VfB Stuttgart,0,0.333564
