home_team,home_goals,home_xg,away_team,away_goals,away_xg
Manchester United,1,0.627539,Tottenham,0,0.6746
Bournemouth,0,0.876106,Aston Villa,1,0.782253
Everton,2,0.604226,Watford,2,0.557892
Leicester,4,2.56803,Sunderland,2,1.45946
Norwich,1,1.13076,Crystal Palace,3,2.10975
Chelsea,2,0.64396,Swansea,2,2.59203
Newcastle United,2,1.54613,Southampton,2,1.2529
Arsenal,0,1.33166,West Ham,2,0.535961
Stoke,0,0.381274,Liverpool,1,0.329873
West Bromwich Albion,0,0.435238,Manchester City,3,1.9242
Aston Villa,0,0.219118,Manchester United,1,0.660404
Southampton,0,1.06214,Everton,3,1.39628
Sunderland,1,0.329128,Norwich,3,1.71686
Swansea,2,1.97424,Newcastle United,0,0.113109
Tottenham,2,1.70614,Stoke,2,2.80956
Watford,0,0.760848,West Bromwich Albion,0,0.684036
West Ham,1,0.513491,Leicester,2,1.80939
Crystal Palace,1,0.964134,Arsenal,2,2.05542
Manchester City,3,2.18579,Chelsea,0,0.482423
Liverpool,1,2.15062,Bournemouth,0,0.460805
Manchester United,0,1.2491,Newcastle United,0,0.4384
Norwich,1,3.14888,Stoke,1,0.698228
Sunderland,1,0.569426,Swansea,1,1.56064
Crystal Palace,2,1.23807,Aston Villa,1,0.765278
Leicester,1,0.829012,Tottenham,1,1.89437
West Ham,3,1.50203,Bournemouth,4,2.8554
West Bromwich Albion,2,1.42622,Chelsea,3,2.02778
Everton,0,0.579338,Manchester City,2,1.57983
Watford,0,1.17588,Southampton,0,0.68359
Arsenal,0,1.83755,Liverpool,0,1.29206
Newcastle United,0,0.0319694,Arsenal,1,2.33948
Stoke,0,1.21771,West Bromwich Albion,1,0.881194
Aston Villa,2,2.27406,Sunderland,2,0.368848
Bournemouth,1,0.321432,Leicester,1,0.919097
Chelsea,1,1.27906,Crystal Palace,2,2.19283
Liverpool,0,0.561737,West Ham,3,0.97217
Manchester City,2,1.52895,Watford,0,0.363603
Tottenham,0,1.99917,Everton,0,0.694692
Southampton,3,2.85501,Norwich,0,0.639434
Swansea,2,0.971183,Manchester United,1,1.28089
Everton,3,1.18026,Chelsea,1,0.656048
Arsenal,2,4.42684,Stoke,0,0.191277
Crystal Palace,0,0.743193,Manchester City,1,3.08883
Watford,1,1.57333,Swansea,0,0.503008
West Bromwich Albion,0,0.409143,Southampton,0,1.00731
Norwich,3,1.33151,Bournemouth,1,0.389495
Manchester United,3,1.46206,Liverpool,1,1.02572
Sunderland,0,1.0407,Tottenham,1,1.45615
Leicester,3,1.34987,Aston Villa,2,0.953181
West Ham,2,1.71282,Newcastle United,0,0.716599
Chelsea,2,2.0687,Arsenal,0,0.775312
Newcastle United,1,1.15114,Watford,2,1.33961
Aston Villa,0,0.876719,West Bromwich Albion,1,0.632761
Bournemouth,2,0.644335,Sunderland,0,0.854867
Stoke,2,1.14717,Leicester,2,1.22582
Swansea,0,0.864868,Everton,0,1.77458
Manchester City,1,2.98465,West Ham,2,0.995273
Tottenham,1,1.01573,Crystal Palace,0,0.538439
Southampton,2,1.83663,Manchester United,3,1.65119
Liverpool,1,1.90447,Norwich,1,0.556271
Tottenham,4,2.30799,Manchester City,1,1.57842
Southampton,3,1.55418,Swansea,1,1.41962
Stoke,2,1.94483,Bournemouth,1,0.871678
Leicester,2,1.38516,Arsenal,5,3.89623
Liverpool,3,1.78331,Aston Villa,2,0.892054
Manchester United,3,2.8971,Sunderland,0,0.832139
West Ham,2,2.60407,Norwich,2,1.38603
Newcastle United,2,0.702109,Chelsea,2,1.30593
Watford,0,0.685939,Crystal Palace,1,2.33566
West Bromwich Albion,2,1.27511,Everton,3,2.30159
Crystal Palace,2,1.99083,West Bromwich Albion,0,0.255528
Aston Villa,0,0.839028,Stoke,1,1.03499
Bournemouth,1,1.50268,Watford,1,0.913291
Manchester City,6,3.3346,Newcastle United,1,0.980279
Norwich,1,1.18074,Leicester,2,3.00282
Sunderland,2,1.08401,West Ham,2,1.93656
Chelsea,1,0.520175,Southampton,3,1.58246
Everton,1,1.20063,Liverpool,1,1.30844
Swansea,2,0.774806,Tottenham,2,1.18142
Arsenal,3,2.16952,Manchester United,0,1.03953
Tottenham,0,0.586228,Liverpool,0,0.715892
Southampton,2,1.46668,Leicester,2,2.78648
West Bromwich Albion,1,2.07781,Sunderland,0,0.658473
Chelsea,2,1.22875,Aston Villa,0,0.795846
Crystal Palace,1,1.08391,West Ham,3,2.76356
Everton,0,0.653457,Manchester United,3,1.47853
Manchester City,5,4.71274,Bournemouth,1,0.173025
Watford,0,0.254791,Arsenal,3,2.69046
Newcastle United,6,2.24896,Norwich,2,1.34395
Swansea,0,0.485489,Stoke,1,1.64894
Aston Villa,1,1.09516,Swansea,2,1.74353
Leicester,1,1.33502,Crystal Palace,0,0.240008
West Ham,2,0.77284,Chelsea,1,1.1356
Norwich,0,1.03228,West Bromwich Albion,1,1.45436
Stoke,0,0.848432,Watford,2,1.0403
Arsenal,2,2.55754,Everton,1,0.373025
Sunderland,3,2.37969,Newcastle United,0,1.41744
Bournemouth,1,0.490581,Tottenham,5,3.43313
Manchester United,0,0.391754,Manchester City,0,0.310718
Liverpool,1,0.682823,Southampton,1,1.56383
Chelsea,1,0.735762,Liverpool,3,0.839342
Crystal Palace,0,0.939118,Manchester United,0,0.394404
