home_team,home_goals,home_xg,away_team,away_goals,away_xg
Manchester City,2,2.83557,Norwich,1,1.17497
Newcastle United,0,1.26075,Stoke,0,1.38017
Swansea,0,0.264441,Arsenal,3,2.17657
Watford,2,1.61544,West Ham,0,0.605625
West Bromwich Albion,2,1.50447,Leicester,3,2.22545
Everton,6,2.34852,Sunderland,2,1.21834
Southampton,2,1.15966,Bournemouth,0,0.712132
Tottenham,3,1.14374,Aston Villa,1,0.325711
Bournemouth,0,1.00427,Newcastle United,1,0.504409
Leicester,2,1.56389,Watford,1,1.00531
Manchester United,2,1.2779,West Bromwich Albion,0,0.594031
Norwich,1,1.19517,Swansea,0,0.402284
West Ham,1,0.589567,Everton,1,1.08814
Sunderland,0,0.299104,Southampton,1,1.79578
Stoke,1,0.825418,Chelsea,0,1.02642
Aston Villa,0,0.182741,Manchester City,0,1.53281
Arsenal,1,2.01767,Tottenham,1,0.90585
Liverpool,1,2.15673,Crystal Palace,2,0.849281
Watford,1,1.47077,Manchester United,2,1.30264
Swansea,2,1.88526,Bournemouth,2,1.58509
Southampton,0,0.709485,Stoke,1,1.19495
West Bromwich Albion,2,0.332888,Arsenal,1,2.08956
Newcastle United,0,0.372387,Leicester,3,3.27478
Everton,4,2.83068,Aston Villa,0,0.322061
Chelsea,1,2.16487,Norwich,0,0.202798
Manchester City,1,1.08612,Liverpool,4,2.61697
Tottenham,4,3.22353,West Ham,1,0.818937
Crystal Palace,0,0.696183,Sunderland,1,1.30739
Sunderland,2,0.863466,Stoke,0,0.79464
Aston Villa,2,1.48969,Watford,3,1.45176
Bournemouth,3,1.69105,Everton,3,0.729005
Crystal Palace,5,1.67836,Newcastle United,1,0.791299
Manchester City,3,2.12331,Southampton,1,1.24478
Leicester,1,0.876256,Manchester United,1,1.05613
Tottenham,0,0.333494,Chelsea,0,0.283375
West Ham,1,1.41404,West Bromwich Albion,1,0.866305
Liverpool,1,1.19358,Swansea,0,0.367517
Norwich,1,1.01025,Arsenal,1,1.65699
Stoke,2,2.01436,Manchester City,0,0.483752
Swansea,0,0.780602,Leicester,3,2.20962
Watford,2,2.07199,Norwich,0,0.310524
West Bromwich Albion,1,1.48695,Tottenham,1,1.12876
Arsenal,3,2.29559,Sunderland,1,1.5228
Manchester United,0,1.76061,West Ham,0,1.10206
Southampton,1,2.86051,Aston Villa,1,1.058
Chelsea,0,1.66952,Bournemouth,1,1.25911
Newcastle United,2,0.646346,Liverpool,0,0.999043
Everton,1,1.69774,Crystal Palace,1,1.1905
Norwich,1,1.49283,Everton,1,2.43558
Manchester City,2,1.34338,Swansea,1,0.962789
Sunderland,0,0.879474,Watford,1,2.0562
Crystal Palace,1,1.31177,Southampton,0,0.890411
West Ham,0,1.13181,Stoke,0,1.87239
Bournemouth,2,1.05032,Manchester United,1,1.96768
Aston Villa,0,1.00876,Arsenal,2,1.68498
Liverpool,2,2.12583,West Bromwich Albion,2,0.835885
Tottenham,1,1.03317,Newcastle United,2,1.55252
Leicester,2,0.708846,Chelsea,1,2.26887
West Bromwich Albion,1,0.698255,Bournemouth,2,1.89177
Southampton,0,0.83385,Tottenham,2,1.47453
Stoke,1,2.41499,Crystal Palace,2,1.95347
Chelsea,3,3.02023,Sunderland,1,1.23573
Everton,2,1.48982,Leicester,3,2.02911
Manchester United,1,1.01394,Norwich,2,0.556897
Newcastle United,1,1.28189,Aston Villa,1,0.404373
Watford,3,1.99336,Liverpool,0,0.376313
Swansea,0,0.973378,West Ham,0,0.401988
Arsenal,2,1.50109,Manchester City,1,0.769378
Stoke,2,1.18211,Manchester United,0,1.28961
Swansea,1,1.21243,West Bromwich Albion,0,0.554583
Tottenham,3,2.40666,Norwich,0,0.452019
Aston Villa,1,1.61235,West Ham,1,0.836027
Bournemouth,0,0.871395,Crystal Palace,0,0.405181
Chelsea,2,2.09356,Watford,2,1.667
Liverpool,1,1.37933,Leicester,0,0.505167
Manchester City,4,3.51848,Sunderland,1,1.08103
Newcastle United,0,1.35711,Everton,1,1.69923
Southampton,4,2.4303,Arsenal,0,0.83106
West Bromwich Albion,1,2.1039,Newcastle United,0,0.456189
Watford,1,1.13011,Tottenham,2,0.527248
Norwich,2,1.10319,Aston Villa,0,0.235874
Crystal Palace,0,0.735185,Swansea,0,0.169425
Everton,3,2.2472,Stoke,4,1.58159
Arsenal,2,3.12958,Bournemouth,0,0.343752
Manchester United,0,1.35213,Chelsea,0,0.900029
West Ham,2,1.79562,Southampton,1,1.3709
Leicester,0,0.810377,Manchester City,0,1.66777
Sunderland,0,0.481551,Liverpool,1,1.80743
West Ham,2,2.06737,Liverpool,0,1.86591
West Bromwich Albion,2,1.72318,Stoke,1,0.917526
Arsenal,1,1.93025,Newcastle United,0,1.15339
Leicester,0,2.28506,Bournemouth,0,1.2593
Manchester United,2,1.74266,Swansea,1,0.542907
Norwich,1,1.50509,Southampton,0,0.932294
Sunderland,3,0.761225,Aston Villa,1,0.27956
Watford,1,0.985368,Manchester City,2,0.692054
Crystal Palace,0,0.546499,Chelsea,3,2.3747
Everton,1,0.721603,Tottenham,1,0.75907
Newcastle United,3,1.81304,Manchester United,3,2.36216
Aston Villa,1,0.551973,Crystal Palace,0,0.547913
Bournemouth,1,0.729546,West Ham,3,1.18455
Southampton,2,1.7224,Watford,0,0.11543
Stoke,3,1.24456,Norwich,1,0.193728
Swansea,2,1.06526,Sunderland,4,2.49057
Chelsea,2,1.38532,West Bromwich Albion,2,0.704263
Manchester City,0,1.44957,Everton,0,0.369548
Liverpool,3,1.16222,Arsenal,3,2.22912
Tottenham,0,1.2301,Leicester,1,0.588708
Tottenham,4,2.02579,Sunderland,1,0.617306
Manchester City,4,1.74025,Crystal Palace,0,0.613339
Newcastle United,2,1.84261,West Ham,1,1.08248
Southampton,3,1.42623,West Bromwich Albion,0,0.410757
Chelsea,3,2.44864,Everton,3,1.5891
Bournemouth,3,2.53086,Norwich,0,0.595472
Aston Villa,1,0.665386,Leicester,1,2.21525
Liverpool,0,0.952974,Manchester United,1,0.715703
Stoke,0,0.546879,Arsenal,0,0.585841
Swansea,1,0.474035,Watford,0,0.525478
Norwich,4,1.03432,Liverpool,5,1.44943
Crystal Palace,1,0.930792,Tottenham,3,1.74368
Manchester United,0,0.187217,Southampton,1,0.83591
Leicester,3,2.25906,Stoke,0,0.340483
West Bromwich Albion,0,0.23184,Aston Villa,0,0.562461
Sunderland,1,0.612134,Bournemouth,1,1.26851
Watford,2,2.58707,Newcastle United,1,1.29267
West Ham,2,1.01267,Manchester City,2,1.73182
Everton,1,1.94094,Swansea,2,1.08055
Arsenal,0,1.10907,Chelsea,1,1.48778
Arsenal,0,3.38487,Southampton,0,0.93405
Leicester,2,1.34566,Liverpool,0,0.580791
Norwich,0,0.929319,Tottenham,3,2.75469
Sunderland,0,0.888437,Manchester City,1,0.638461
West Ham,2,2.34619,Aston Villa,0,0.107888
Crystal Palace,1,1.62395,Bournemouth,2,1.17427
Manchester United,3,2.45272,Stoke,0,0.350909
West Bromwich Albion,1,2.30645,Swansea,1,1.17928
Everton,3,2.48447,Newcastle United,0,0.626239
Watford,0,0.531415,Chelsea,0,1.13694
Manchester City,1,1.70719,Leicester,3,2.50168
Newcastle United,1,2.41057,West Bromwich Albion,0,0.472556
Stoke,0,0.693548,Everton,3,3.05913
Tottenham,1,2.00475,Watford,0,0.149839
Swansea,1,1.32136,Crystal Palace,1,1.01465
Aston Villa,2,0.918291,Norwich,0,1.1413
Liverpool,2,1.57712,Sunderland,2,0.491843
Southampton,1,1.06493,West Ham,0,0.970583
Bournemouth,0,0.584316,Arsenal,2,1.13957
Chelsea,1,1.61554,Manchester United,1,0.780475
Sunderland,2,1.48186,Manchester United,1,0.908296
Swansea,0,0.699012,Southampton,1,1.19353
Norwich,2,1.03362,West Ham,2,0.741428
Everton,0,1.82912,West Bromwich Albion,1,1.1974
Crystal Palace,1,0.983946,Watford,2,1.99728
Bournemouth,1,1.19427,Stoke,3,0.927348
Chelsea,5,2.0858,Newcastle United,1,0.430664
Arsenal,2,2.36319,Leicester,1,1.31246
Aston Villa,0,0.174868,Liverpool,6,2.00756
Manchester City,1,1.97876,Tottenham,2,1.23517
West Ham,1,0.52387,Sunderland,0,1.07887
Watford,0,1.00481,Bournemouth,0,0.955252
Leicester,1,1.7645,Norwich,0,0.814784
Southampton,1,1.01074,Chelsea,2,0.631036
Stoke,2,2.04047,Aston Villa,1,0.414343
West Bromwich Albion,3,2.07488,Crystal Palace,2,1.21638
Tottenham,2,3.57325,Swansea,1,1.24938
Manchester United,3,1.09522,Arsenal,2,1.5435
Aston Villa,1,0.60177,Everton,3,2.63668
Bournemouth,2,1.41228,Southampton,0,0.954161
Leicester,2,3.04626,West Bromwich Albion,2,1.29485
Sunderland,2,0.93375,Crystal Palace,2,0.887448
Norwich,1,1.24159,Chelsea,2,0.980988
West Ham,1,0.784319,Tottenham,0,1.22673
Arsenal,1,1.4928,Swansea,2,1.69788
Stoke,1,0.298318,Newcastle United,0,0.270782
Liverpool,3,1.16781,Manchester City,0,0.180318
Manchester United,1,0.786278,Watford,0,2.16484
Tottenham,2,1.88378,Arsenal,2,0.543157
Southampton,1,1.54587,Sunderland,1,1.31562
Swansea,1,0.545937,Norwich,0,0.580126
Chelsea,1,1.0615,Stoke,1,1.60285
Everton,2,2.09025,West Ham,3,2.72091
Manchester City,4,2.83271,Aston Villa,0,0.121136
Newcastle United,1,0.833931,Bournemouth,3,1.26853
Watford,0,0.829318,Leicester,1,1.47042
Crystal Palace,1,1.43901,Liverpool,2,2.27087
West Bromwich Albion,1,0.565787,Manchester United,0,0.417622
Norwich,0,0.139743,Manchester City,0,0.557373
Stoke,1,1.06676,Southampton,2,0.874966
Bournemouth,3,0.70756,Swansea,2,1.09562
Aston Villa,0,1.84022,Tottenham,2,2.00141
Leicester,1,0.846771,Newcastle United,0,0.518715
Everton,0,0.58617,Arsenal,2,1.92384
Crystal Palace,0,0.784339,Leicester,1,1.20315
Chelsea,2,2.1406,West Ham,2,0.862828
Watford,1,0.879462,Stoke,2,1.58145
West Bromwich Albion,0,0.332789,Norwich,1,0.799255
Swansea,1,0.490469,Aston Villa,0,0.730828
Southampton,3,1.56873,Liverpool,2,1.29046
Newcastle United,1,0.940593,Sunderland,1,0.785017
Manchester City,0,1.86249,Manchester United,1,0.900312
Tottenham,3,2.02694,Bournemouth,0,0.120366
Aston Villa,0,0.72512,Chelsea,4,2.49358
Arsenal,4,3.00742,Watford,0,0.290619
Bournemouth,0,1.3239,Manchester City,4,0.868303
Norwich,3,1.65216,Newcastle United,2,1.46835
Stoke,2,1.17598,Swansea,2,0.4319
Sunderland,0,1.54544,West Bromwich Albion,0,0.0635563
West Ham,2,1.71369,Crystal Palace,2,1.65593
Liverpool,1,1.37954,Tottenham,1,1.23579
Leicester,1,1.38701,Southampton,0,0.670068
Manchester United,1,0.998692,Everton,0,0.755625
West Ham,3,1.10973,Arsenal,3,1.46966
Watford,1,0.408379,Everton,1,1.59979
Southampton,3,1.78477,Newcastle United,1,0.165982
Swansea,1,1.9071,Chelsea,0,1.3003
Aston Villa,1,0.220872,Bournemouth,2,1.0038
Crystal Palace,1,1.45029,Norwich,0,0.675663
Manchester City,2,2.07325,West Bromwich Albion,1,1.09413
Sunderland,0,0.872232,Leicester,2,2.60072
Tottenham,3,1.79647,Manchester United,0,0.341238
Liverpool,4,2.21484,Stoke,1,0.85508
Crystal Palace,0,1.59025,Everton,0,0.759269
Norwich,0,1.09006,Sunderland,3,1.99748
Manchester United,1,1.09127,Aston Villa,0,0.262427
Everton,1,0.318721,Southampton,1,1.38323
Newcastle United,3,1.5024,Swansea,0,0.787081
West Bromwich Albion,0,2.2915,Watford,1,0.364852
Chelsea,0,0.487715,Manchester City,3,2.62768
Leicester,2,1.95296,West Ham,2,1.56819
Bournemouth,1,0.85914,Liverpool,2,1.81443
Arsenal,1,1.73461,Crystal Palace,1,0.275806
Stoke,0,0.458376,Tottenham,4,2.89775
Newcastle United,1,0.455246,Manchester City,1,0.522043
West Ham,3,3.96294,Watford,1,1.22333
Manchester United,2,1.46607,Crystal Palace,0,0.137416
Liverpool,4,3.24472,Everton,0,0.0886329
Arsenal,2,1.37348,West Bromwich Albion,0,0.839742
Manchester City,4,2.22482,Stoke,0,1.09174
Aston Villa,2,1.47192,Southampton,4,3.6648
Bournemouth,1,0.575087,Chelsea,4,2.07192
Liverpool,2,0.712881,Newcastle United,2,0.253033
Sunderland,0,0.617149,Arsenal,0,0.97303
Leicester,4,3.31579,Swansea,0,0.576457
Tottenham,1,1.26346,West Bromwich Albion,1,0.894413
Stoke,1,0.68487,Sunderland,1,1.43105
Newcastle United,1,0.53407,Crystal Palace,0,1.05079
Everton,2,0.95281,Bournemouth,1,1.42599
Watford,3,1.36255,Aston Villa,2,0.491793
West Bromwich Albion,0,1.5346,West Ham,3,1.27183
Arsenal,1,0.781508,Norwich,0,0.578781
Swansea,3,2.31862,Liverpool,1,0.776186
Manchester United,1,1.18462,Leicester,1,1.16622
Southampton,4,2.84362,Manchester City,2,1.12719
Chelsea,2,0.81661,Tottenham,2,1.90407
Norwich,0,1.36825,Manchester United,1,1.48344
Crystal Palace,2,1.31448,Stoke,1,1.27766
West Ham,1,2.39454,Swansea,4,2.47265
Aston Villa,0,0.0312154,Newcastle United,0,1.09626
Bournemouth,1,0.814964,West Bromwich Albion,1,1.34282
Sunderland,3,0.773876,Chelsea,2,1.77677
Leicester,3,4.50525,Everton,1,1.30184
Tottenham,1,2.55547,Southampton,2,1.30812
Liverpool,2,2.38919,Watford,0,0.930803
Manchester City,2,0.75375,Arsenal,2,1.08084
West Ham,3,2.13311,Manchester United,2,0.635987
Norwich,4,2.41871,Watford,2,1.7686
Sunderland,3,2.44887,Everton,0,1.16563
Liverpool,1,1.83934,Chelsea,1,0.812268
Arsenal,4,3.40207,Aston Villa,0,0.222731
Chelsea,1,1.86065,Leicester,1,1.23491
Everton,3,2.40775,Norwich,0,0.43016
Newcastle United,5,2.42808,Tottenham,1,0.869082
Southampton,4,2.32278,Crystal Palace,1,1.24857
Stoke,2,0.288737,West Ham,1,2.94489
Swansea,1,0.115604,Manchester City,1,2.04003
Watford,2,1.95277,Sunderland,2,0.908817
West Bromwich Albion,1,1.86869,Liverpool,1,0.419877
Manchester United,3,1.72109,Bournemouth,1,0.503471
