home_team,home_goals,home_xg,away_team,away_goals,away_xg
Liverpool,4,3.07278,Southampton,0,0.966132
Norwich,0,1.4047,Wolverhampton Wanderers,0,0.297157
Brighton,0,1.90498,Leeds,0,0.864829
Brentford,1,1.19813,Everton,0,0.968075
Leicester,4,2.16027,Watford,2,2.38383
Manchester City,2,2.72187,West Ham,1,0.171763
Chelsea,1,2.34525,Manchester United,1,0.563367
Newcastle United,1,1.15636,Norwich,1,1.51084
Leeds,1,1.9818,Crystal Palace,0,0.707328
Watford,1,0.990877,Chelsea,2,0.908574
West Ham,1,1.14679,Brighton,1,1.2607
Wolverhampton Wanderers,0,0.711691,Burnley,0,0.195537
Southampton,2,1.91169,Leicester,2,1.4401
Aston Villa,1,0.772083,Manchester City,2,1.01897
Everton,1,0.512263,Liverpool,4,2.86067
Tottenham,2,2.07248,Brentford,0,0.225492
Manchester United,3,1.85597,Arsenal,2,1.16638
West Ham,3,2.0174,Chelsea,2,1.37049
Newcastle United,1,1.70609,Burnley,0,0.604599
Southampton,1,1.34236,Brighton,1,1.4872
Wolverhampton Wanderers,0,0.095167,Liverpool,1,2.42332
Watford,1,0.675105,Manchester City,3,4.03223
Leeds,2,1.41896,Brentford,2,1.19959
Manchester United,1,0.870376,Crystal Palace,0,0.520593
Tottenham,3,2.00668,Norwich,0,1.06562
Aston Villa,2,1.84818,Leicester,1,0.982614
Everton,2,1.06108,Arsenal,1,1.05723
Brentford,2,1.82799,Watford,1,0.561554
Manchester City,1,2.99915,Wolverhampton Wanderers,0,0.0762839
Arsenal,3,2.08429,Southampton,0,0.502215
Chelsea,3,2.74844,Leeds,2,1.72934
Liverpool,1,2.71181,Aston Villa,0,0.140573
Norwich,0,0.986107,Manchester United,1,2.09817
Burnley,0,0.54801,West Ham,0,0.998813
Leicester,4,2.05771,Newcastle United,0,0.511934
Crystal Palace,3,2.09864,Everton,1,1.27556
Norwich,0,0.502647,Aston Villa,2,1.96261
Manchester City,7,3.31349,Leeds,0,0.227498
Brighton,0,1.20118,Wolverhampton Wanderers,1,1.11736
Crystal Palace,2,1.49244,Southampton,2,0.625183
Arsenal,2,2.81482,West Ham,0,0.338855
Chelsea,1,3.20239,Everton,1,0.627528
Liverpool,3,2.93912,Newcastle United,1,0.2064
Leeds,1,1.31408,Arsenal,4,3.69008
Wolverhampton Wanderers,0,0.321371,Chelsea,0,0.793952
Newcastle United,0,0.174208,Manchester City,4,3.64686
Tottenham,2,2.79777,Liverpool,2,1.54944
